Player,Birthdate,League,Club,Footed,Nationality,Position,Minutes,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Elo,Age,Rating,Potential
Emmanouil Siopis,1994-05-14,EFLChampionship,Panathinaikos,Right,Greece,Midfielders,1444,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.02,0.02,0.01,0.03,0.31,3.49,0.5,0.62,0.12,20.0,0.0,0.0,25.9,0.0,0.03,-0.02,-0.02,31.1,36.96,84.1,535.95,149.9,15.02,16.52,90.9,12.65,14.34,88.3,2.87,4.18,68.7,0.02,0.31,3.74,0.19,0.06,35.71,1.0,0.81,0.06,0.62,0.19,0.12,0.0,0.0,0.0,0.0,0.25,0.75,1.31,1.12,0.0,0.06,0.0,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,2.87,1.75,1.18,1.37,0.31,1.31,2.74,47.7,1.43,1.56,0.25,1.37,4.24,1.5,0.0,47.93,1.99,12.65,29.54,6.11,0.12,47.93,0.69,0.5,72.7,0.12,18.2,22.69,88.82,30.29,0.69,0.06,1.06,1.25,26.86,0.0,0.69,1.75,0.0,0.0,0.0,0.0,5.05,0.69,0.81,45.8,1410,31.0,68.72561958974426,68.72561958974426
Joe Ralls,1993-10-12,EFLChampionship,Cardiff City,Left,England,Midfielders,1148,0.0,0.08,0.08,0.0,0.0,0.0,0.47,0.0,0.04,0.04,0.12,0.16,0.63,5.96,1.33,1.18,0.31,26.7,0.0,0.0,23.1,0.0,0.03,-0.04,-0.04,39.59,52.53,75.4,742.42,250.24,16.39,19.29,85.0,16.7,19.44,85.9,5.33,10.82,49.3,0.09,1.65,5.49,0.39,0.24,46.65,5.57,2.27,0.08,0.47,4.63,0.24,2.9,1.41,1.41,0.0,0.31,1.18,3.84,2.43,0.86,0.0,0.47,0.0,0.08,0.24,0.08,0.08,0.0,0.08,0.0,0.0,1.72,0.86,0.47,1.18,0.08,0.78,1.88,41.7,1.1,1.1,0.47,1.1,2.82,0.86,0.0,61.07,2.27,10.98,38.26,12.31,0.94,61.07,0.55,0.24,42.9,0.31,57.1,31.59,130.77,54.56,1.18,0.31,1.02,0.63,38.18,0.0,2.12,0.78,0.0,0.0,0.0,0.0,4.55,0.94,0.63,60.0,1434,32.0,69.35615830981729,69.35615830981729
Sivert Mannsverk,2002-05-08,EFLChampionship,Cardiff City,Right,Norway,Midfielders,1004,0.0,0.09,0.09,0.0,0.0,0.0,0.36,0.0,0.03,0.03,0.1,0.13,0.99,5.38,1.17,0.81,0.09,11.1,0.0,0.0,21.8,0.0,0.03,-0.03,-0.03,33.35,44.91,74.3,549.86,195.06,16.31,19.99,81.6,13.18,17.03,77.4,2.78,5.02,55.4,0.08,0.99,5.47,0.54,0.18,43.92,0.81,0.45,0.27,0.0,0.54,0.27,0.0,0.0,0.0,0.0,0.18,1.17,2.42,2.15,0.0,0.09,0.09,0.0,0.09,0.18,0.18,0.0,0.0,0.0,0.0,0.0,1.61,1.08,0.99,0.54,0.09,0.72,1.88,38.1,1.17,1.17,0.45,1.34,2.96,1.61,0.09,54.5,3.23,11.65,32.27,11.12,0.72,54.5,0.9,0.36,40.0,0.36,40.0,26.8,136.7,69.2,0.45,0.18,1.17,1.08,29.31,0.0,1.61,0.54,0.0,0.0,0.0,0.0,5.2,2.78,2.78,50.0,1434,23.0,69.86695962654906,69.86695962654906
David Turnbull,1999-07-10,EFLChampionship,Cardiff City,Right,Scotland,Midfielders,826,0.11,0.0,0.11,0.11,0.0,0.11,0.22,0.0,0.15,0.04,0.09,0.14,0.76,7.41,1.74,2.07,1.09,52.6,0.05,0.1,30.0,0.11,0.02,-0.04,0.07,58.51,69.52,84.2,1007.0,304.0,27.35,30.29,90.3,23.32,26.37,88.4,6.21,9.81,63.3,0.11,1.63,5.99,1.31,0.22,63.85,5.23,1.74,0.11,0.11,5.45,0.22,3.27,1.09,1.96,0.0,0.44,0.76,4.69,3.49,0.98,0.0,0.22,0.0,0.0,0.22,0.11,0.0,0.0,0.11,0.0,0.0,1.85,1.42,0.87,0.65,0.33,0.87,1.63,53.3,0.76,1.09,0.22,0.65,2.51,0.98,0.11,78.34,1.96,14.49,42.17,22.12,0.65,78.23,0.44,0.0,0.0,0.44,100.0,43.47,214.1,98.61,1.42,0.0,0.76,0.76,53.5,0.0,1.09,0.11,0.0,0.0,0.0,0.0,4.9,0.65,0.87,42.9,1434,26.0,66.03782724652169,66.03782724652169
Aaron Ramsey,1990-12-26,EFLChampionship,Cardiff City,Right,Wales,Midfielders,557,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.13,0.13,0.03,0.18,1.45,5.82,4.04,1.62,0.65,40.0,0.0,0.0,19.0,0.65,0.08,-0.13,-0.13,45.89,58.98,77.8,791.42,213.61,19.39,22.94,84.5,20.68,22.94,90.1,4.52,9.05,50.0,0.05,1.62,4.85,1.13,0.16,51.06,6.95,2.91,0.16,0.32,3.39,1.13,2.26,1.29,0.48,0.0,0.97,1.29,2.42,1.29,0.81,0.0,0.32,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,2.59,1.45,0.48,1.62,0.48,1.13,1.94,58.3,0.81,0.32,0.16,0.97,3.55,0.48,0.0,69.32,2.59,13.73,39.26,17.13,1.29,69.32,0.97,0.32,33.3,0.65,66.7,37.16,175.15,64.15,1.94,0.0,1.45,1.62,45.24,0.0,2.42,1.13,0.65,0.0,0.0,0.16,5.82,0.48,1.29,27.3,1434,34.0,59.84412756544907,59.84412756544907
Ryan Gravenberch,2002-05-16,PremierLeague,Liverpool,Right,Netherlands,Midfielders,3160,0.0,0.11,0.11,0.0,0.0,0.0,0.17,0.03,0.03,0.03,0.09,0.12,1.99,5.16,1.57,0.57,0.14,25.0,0.0,0.0,24.5,0.0,0.06,-0.03,-0.03,48.93,54.88,89.2,737.77,185.92,26.12,28.22,92.5,19.37,20.99,92.3,1.82,2.96,61.5,0.1,0.74,4.3,1.0,0.06,53.8,0.91,0.46,0.23,0.2,0.2,0.28,0.0,0.0,0.0,0.0,0.17,0.43,1.94,1.71,0.0,0.14,0.06,0.0,0.03,0.17,0.17,0.0,0.0,0.0,0.0,0.0,1.97,1.0,0.77,0.83,0.37,0.91,1.59,57.1,0.68,1.0,0.28,1.71,3.67,1.68,0.06,66.73,3.33,14.5,38.56,14.58,0.74,66.73,2.31,1.05,45.7,0.85,37.0,39.76,212.24,106.58,2.14,0.28,1.57,0.74,47.53,0.0,1.34,1.48,0.0,0.0,0.0,0.0,5.5,0.74,0.4,65.0,1993,23.0,82.0120450473115,87.07329679346148
Alexis Mac Allister,1998-12-24,PremierLeague,Liverpool,Right,Argentina,Midfielders,2599,0.17,0.17,0.35,0.17,0.0,0.0,0.21,0.0,0.1,0.1,0.16,0.26,1.25,6.13,2.77,1.32,0.45,34.2,0.13,0.38,18.1,0.03,0.07,0.08,0.08,44.08,52.77,83.5,704.49,199.05,22.79,25.24,90.3,17.07,19.32,88.4,3.08,5.54,55.6,0.19,1.56,4.22,1.21,0.07,48.58,4.02,1.21,0.21,0.1,2.98,0.31,2.46,0.9,1.25,0.0,0.17,1.07,4.16,2.87,0.83,0.07,0.21,0.07,0.1,0.52,0.35,0.1,0.0,0.07,0.0,0.0,3.29,2.01,0.97,1.77,0.55,1.9,3.6,52.9,1.7,2.11,0.21,0.76,4.05,1.0,0.03,64.41,1.94,9.83,33.24,22.06,2.08,64.41,1.45,0.55,38.1,0.73,50.0,31.65,130.65,69.57,1.49,0.17,1.07,0.76,42.49,0.0,2.15,1.39,0.07,0.0,0.0,0.0,5.13,0.66,1.18,35.8,1993,26.0,82.7480693231165,83.65020534520659
Curtis Jones,2001-01-30,PremierLeague,Liverpool,Right,England,Midfielders,1712,0.16,0.16,0.32,0.16,0.0,0.0,0.16,0.05,0.23,0.23,0.06,0.28,1.58,6.15,4.15,1.79,0.68,38.2,0.09,0.23,17.1,0.0,0.13,-0.07,-0.07,53.67,57.67,93.1,792.34,166.02,30.7,31.8,96.5,19.61,21.24,92.3,2.1,2.79,75.5,0.08,1.16,4.42,1.0,0.05,54.52,3.05,0.58,0.11,0.11,0.42,1.47,0.05,0.0,0.0,0.0,0.11,0.53,2.73,2.37,0.05,0.0,0.21,0.11,0.0,0.42,0.26,0.05,0.0,0.05,0.05,0.0,2.05,1.16,0.32,1.21,0.53,0.89,1.42,63.0,0.53,1.16,0.47,0.37,2.42,0.53,0.16,67.71,2.16,11.57,35.91,20.66,3.05,67.71,1.16,0.63,54.5,0.42,36.4,41.48,204.45,99.46,1.21,0.42,1.37,1.89,50.84,0.05,0.95,1.31,0.05,0.05,0.0,0.0,5.1,0.74,0.68,51.9,1993,24.0,81.81783205507415,85.40080255974897
Declan Rice,1999-01-14,PremierLeague,Arsenal,Right,England,Midfielders,2825,0.13,0.22,0.35,0.13,0.0,0.0,0.22,0.03,0.11,0.11,0.21,0.32,2.87,6.12,2.99,1.53,0.45,29.2,0.08,0.29,19.6,0.06,0.07,0.02,0.02,43.84,52.57,83.4,745.55,198.61,21.6,23.48,92.0,17.62,19.47,90.5,3.73,7.65,48.8,0.18,1.88,4.36,1.12,0.16,45.75,6.63,2.26,0.16,0.54,5.22,0.13,3.44,2.99,0.1,0.0,0.19,0.48,3.54,1.98,1.05,0.13,0.16,0.16,0.06,0.32,0.19,0.06,0.03,0.03,0.0,0.0,1.69,0.8,0.7,0.8,0.19,0.54,1.31,41.5,0.76,0.86,0.41,0.8,2.49,1.62,0.0,62.06,2.61,10.35,28.96,23.35,2.58,62.06,0.92,0.45,48.3,0.45,48.3,32.85,205.93,108.13,1.85,0.51,1.15,1.02,40.33,0.03,0.67,0.51,0.06,0.0,0.0,0.0,4.97,1.18,0.8,59.7,1993,26.0,82.69873018291416,83.60032829981759
Thomas Partey,1993-06-13,PremierLeague,Arsenal,Right,Ghana,Midfielders,2797,0.13,0.06,0.19,0.13,0.0,0.0,0.13,0.0,0.07,0.07,0.07,0.14,1.16,5.95,1.54,0.84,0.29,34.6,0.15,0.44,19.2,0.0,0.09,0.05,0.05,53.99,61.78,87.4,859.04,230.23,28.12,30.31,92.8,21.94,24.68,88.9,2.93,4.6,63.6,0.08,0.64,5.41,1.06,0.06,58.53,3.06,0.87,0.19,0.13,0.39,2.0,0.0,0.0,0.0,0.0,0.19,0.42,2.0,1.67,0.06,0.03,0.06,0.03,0.13,0.42,0.26,0.06,0.0,0.03,0.03,0.03,2.86,1.71,0.84,1.25,0.77,1.48,2.45,60.5,0.97,0.93,0.29,1.13,3.99,1.58,0.13,70.56,2.38,14.71,39.06,17.18,1.06,70.56,1.13,0.77,68.6,0.29,25.7,40.41,219.51,118.77,1.35,0.1,0.77,0.55,50.23,0.0,1.45,1.0,0.03,0.0,0.0,0.0,4.44,0.9,0.87,50.9,1993,32.0,81.42353138556118,81.42353138556118
Martin Ødegaard,1998-12-17,PremierLeague,Arsenal,Left,Norway,Midfielders,2325,0.12,0.31,0.43,0.08,0.04,0.04,0.15,0.0,0.19,0.15,0.21,0.37,3.56,9.99,5.96,1.86,0.58,31.3,0.04,0.13,19.2,0.12,0.08,-0.07,-0.08,47.88,58.03,82.5,744.66,211.35,26.25,28.99,90.5,17.38,20.01,86.8,3.1,5.65,54.8,0.26,2.44,5.11,3.33,0.19,53.15,4.41,1.35,0.97,0.12,3.33,0.46,1.43,1.2,0.0,0.0,0.46,1.05,4.8,3.91,0.5,0.12,0.19,0.08,0.0,0.7,0.54,0.08,0.04,0.04,0.0,0.0,0.74,0.43,0.35,0.27,0.12,0.15,0.97,16.0,0.81,0.19,0.0,0.23,0.97,0.23,0.04,65.57,0.35,4.88,27.41,33.87,4.45,65.54,2.28,0.97,42.4,1.24,54.2,45.45,288.15,146.01,3.29,1.01,1.47,1.55,51.72,0.0,0.46,0.89,0.04,0.0,0.0,0.0,3.75,0.31,0.27,53.3,1993,27.0,84.32723064442138,84.32723064442138
Mikel Merino,1996-06-22,PremierLeague,Arsenal,Left,Spain,Midfielders,1586,0.4,0.11,0.51,0.4,0.0,0.0,0.23,0.06,0.33,0.33,0.11,0.45,0.62,3.92,5.33,2.16,0.74,34.2,0.18,0.54,10.7,0.0,0.16,0.06,0.06,25.59,32.74,78.2,350.81,100.78,16.17,18.61,86.9,7.26,9.36,77.6,0.96,1.76,54.8,0.07,0.96,2.27,1.36,0.23,32.18,0.28,0.23,0.28,0.06,0.74,0.06,0.0,0.0,0.0,0.0,0.28,0.68,2.44,1.99,0.0,0.0,0.34,0.11,0.0,0.23,0.17,0.0,0.0,0.06,0.0,0.0,2.61,1.59,0.4,1.48,0.74,1.13,2.04,55.6,0.91,1.02,0.28,0.85,3.46,1.48,0.11,44.43,2.1,7.94,18.73,18.33,4.48,44.43,1.31,0.51,39.1,0.57,43.5,22.02,86.14,42.39,0.74,0.23,1.36,1.53,28.6,0.06,2.33,1.31,0.4,0.0,0.0,0.0,4.88,3.35,3.12,51.8,1993,29.0,80.00810592408871,80.00810592408871
Bernardo Silva,1994-08-10,PremierLeague,Manchester City,Left,Portugal,Midfielders,2670,0.13,0.13,0.27,0.13,0.0,0.0,0.24,0.0,0.13,0.13,0.17,0.3,3.4,4.52,6.74,1.08,0.37,34.4,0.13,0.36,12.4,0.0,0.12,0.0,0.0,52.15,60.1,86.8,797.06,151.72,29.56,31.99,92.4,18.67,21.37,87.4,2.76,4.18,66.1,0.15,1.79,2.93,1.35,0.24,55.75,4.31,1.85,0.13,0.2,2.02,1.48,0.54,0.17,0.0,0.0,0.03,1.18,3.1,2.73,0.1,0.13,0.03,0.1,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,1.89,1.25,0.57,1.01,0.3,0.84,1.89,44.6,1.04,1.21,0.24,0.78,2.66,1.08,0.1,69.24,1.69,11.97,28.42,29.53,4.75,69.24,2.06,0.94,45.9,0.88,42.6,43.42,273.37,136.35,2.19,1.08,0.84,1.15,51.17,0.0,0.91,1.08,0.1,0.0,0.0,0.0,3.61,0.17,0.34,33.3,1960,31.0,81.55071382967289,81.55071382967289
İlkay Gündoğan,1990-10-24,PremierLeague,Manchester City,Right,Germany,Midfielders,2223,0.04,0.24,0.28,0.04,0.0,0.0,0.04,0.0,0.13,0.13,0.14,0.27,2.59,5.14,3.89,1.09,0.28,25.9,0.04,0.14,18.1,0.08,0.12,-0.09,-0.09,61.74,68.95,89.5,955.47,182.63,35.26,37.37,94.4,21.05,22.87,92.0,4.13,6.28,65.8,0.18,1.78,4.37,0.93,0.08,64.37,4.37,1.34,0.28,0.12,2.43,0.16,1.86,1.26,0.16,0.04,0.2,0.85,3.56,2.71,0.45,0.2,0.16,0.04,0.0,0.53,0.4,0.04,0.0,0.04,0.04,0.0,1.01,0.53,0.2,0.61,0.2,0.4,0.97,41.7,0.57,0.61,0.0,0.53,1.54,0.93,0.0,76.6,1.82,10.93,37.61,28.91,2.71,76.6,1.66,0.69,41.5,0.65,39.0,45.26,251.38,121.46,2.31,0.45,1.17,1.01,59.92,0.0,0.61,1.09,0.04,0.04,0.0,0.0,4.7,0.57,0.45,56.0,1960,35.0,82.52964012386072,82.52964012386072
Mateo Kovačić,1994-05-06,PremierLeague,Manchester City,Right,Croatia,Midfielders,2198,0.25,0.08,0.33,0.25,0.0,0.0,0.2,0.04,0.08,0.08,0.15,0.23,2.29,6.72,0.66,1.84,0.49,26.7,0.13,0.5,22.9,0.0,0.04,0.17,0.17,71.33,77.06,92.6,1116.97,298.01,37.63,39.6,95.0,30.1,31.53,95.5,2.83,4.3,65.7,0.13,1.35,8.43,1.23,0.0,75.55,1.35,1.31,0.61,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.57,2.99,2.42,0.0,0.16,0.2,0.16,0.04,0.33,0.25,0.0,0.04,0.04,0.0,0.0,2.83,1.56,0.94,1.56,0.33,1.27,2.66,47.7,1.39,0.82,0.0,0.98,3.81,0.86,0.04,86.93,2.17,13.02,49.09,25.67,0.7,86.93,1.68,0.9,53.7,0.45,26.8,59.17,343.83,162.19,3.19,0.12,0.78,1.19,70.8,0.0,0.98,1.06,0.0,0.0,0.0,0.0,4.67,0.41,0.37,52.6,1960,31.0,81.45731488706349,81.45731488706349
Nicolás González,2002-01-03,PremierLeague,Manchester City,Right,Spain,Midfielders,760,0.12,0.0,0.12,0.12,0.0,0.0,0.36,0.0,0.06,0.06,0.01,0.06,1.07,5.92,1.3,1.07,0.24,22.2,0.11,0.5,19.5,0.0,0.05,0.06,0.06,68.09,74.01,92.0,1023.51,235.07,39.32,40.97,96.0,26.41,28.66,92.1,1.66,2.61,63.6,0.06,0.12,6.16,0.47,0.0,71.41,2.49,2.25,0.12,0.0,0.12,0.24,0.0,0.0,0.0,0.0,0.12,0.59,1.78,1.54,0.0,0.0,0.12,0.12,0.0,0.36,0.24,0.0,0.0,0.0,0.12,0.0,1.89,0.71,0.59,0.83,0.47,0.71,1.3,54.5,0.59,1.07,0.0,0.95,2.84,2.49,0.0,84.43,2.13,13.74,51.99,19.07,1.18,84.43,0.71,0.12,16.7,0.36,50.0,50.33,216.0,86.33,1.42,0.36,0.95,1.3,63.36,0.0,1.54,0.59,0.0,0.0,0.0,0.0,3.67,1.89,1.42,57.1,1960,23.0,73.20046039811479,77.41735676143313
Moisés Caicedo,2001-11-02,PremierLeague,Chelsea,Right,Ecuador,Midfielders,3351,0.03,0.05,0.08,0.03,0.0,0.0,0.3,0.0,0.02,0.02,0.08,0.1,1.15,5.77,0.99,0.54,0.08,15.0,0.05,0.33,25.3,0.0,0.04,0.01,0.01,52.83,58.93,89.7,908.7,240.35,23.98,25.89,92.6,23.58,25.54,92.3,4.27,5.59,76.4,0.08,0.81,6.31,0.91,0.05,56.83,1.99,1.26,0.32,0.35,0.27,0.73,0.0,0.0,0.0,0.0,0.11,0.54,2.63,2.31,0.0,0.05,0.0,0.08,0.19,0.24,0.16,0.0,0.0,0.0,0.05,0.03,3.06,1.96,1.18,1.45,0.43,1.45,2.31,62.8,0.86,1.32,0.27,1.32,4.38,1.61,0.03,69.27,2.55,15.09,42.17,12.78,0.4,69.27,1.72,0.78,45.3,0.59,34.4,37.84,184.83,90.89,1.02,0.05,0.99,0.67,47.81,0.0,1.88,1.56,0.0,0.05,0.03,0.0,6.15,0.94,0.43,68.6,1903,24.0,80.20038285550785,82.82958195095448
Enzo Fernández,2001-01-17,PremierLeague,Chelsea,Right,Argentina,Midfielders,2947,0.18,0.21,0.4,0.18,0.0,0.0,0.24,0.0,0.19,0.19,0.21,0.39,1.83,6.47,3.85,1.62,0.61,37.7,0.11,0.3,18.1,0.06,0.11,0.0,0.0,46.36,58.03,79.9,817.73,229.41,21.38,24.1,88.7,19.12,22.51,84.9,4.79,8.34,57.5,0.19,2.35,5.1,1.25,0.21,53.66,4.09,1.62,0.43,0.79,3.33,0.12,2.26,1.34,0.37,0.03,0.27,1.4,4.49,3.54,0.49,0.06,0.12,0.12,0.15,0.49,0.4,0.06,0.0,0.03,0.0,0.0,1.99,1.01,0.52,0.92,0.55,0.95,2.57,36.9,1.62,1.31,0.21,0.4,2.38,0.7,0.12,67.49,1.13,10.57,34.48,22.94,2.47,67.49,1.68,0.79,47.3,0.64,38.2,36.98,172.61,83.53,1.68,0.27,0.89,0.86,49.54,0.0,1.59,1.65,0.06,0.0,0.0,0.0,4.76,0.43,0.89,32.6,1903,24.0,81.73403159994945,84.41350810989275
Bruno Guimarães,1997-11-16,PremierLeague,Newcastle United,Right,Brazil,Midfielders,3271,0.14,0.17,0.3,0.14,0.0,0.0,0.19,0.0,0.12,0.12,0.17,0.29,1.76,7.46,2.64,1.24,0.36,28.9,0.11,0.38,16.4,0.0,0.1,0.02,0.02,40.75,49.47,82.4,672.34,216.26,20.25,22.29,90.9,15.99,18.43,86.7,3.25,5.53,58.7,0.15,1.43,4.95,2.12,0.17,46.99,2.23,1.93,0.61,0.39,0.77,0.08,0.14,0.06,0.06,0.0,0.25,1.05,3.66,3.27,0.08,0.08,0.03,0.11,0.08,0.5,0.47,0.03,0.0,0.0,0.0,0.0,2.28,1.29,1.13,0.83,0.33,0.91,1.9,47.8,0.99,0.99,0.28,0.8,3.08,1.21,0.14,60.89,2.28,12.24,31.12,18.21,2.34,60.89,2.15,0.94,43.6,0.74,34.6,38.52,213.6,95.83,1.27,0.41,1.54,2.09,45.45,0.0,1.79,2.97,0.06,0.0,0.0,0.0,5.17,0.5,0.52,48.6,1869,28.0,81.71442591497922,81.71442591497922
Joelinton,1996-08-14,PremierLeague,Newcastle United,Right,Brazil,Midfielders,2393,0.15,0.11,0.26,0.15,0.0,0.0,0.38,0.0,0.15,0.15,0.09,0.24,1.5,4.36,4.14,1.69,0.49,28.9,0.09,0.31,14.0,0.0,0.09,0.0,0.0,32.46,39.23,82.7,458.8,127.27,19.9,22.68,87.7,10.42,12.04,86.6,1.24,2.07,60.0,0.09,0.87,3.01,0.64,0.08,38.14,0.98,0.41,0.26,0.08,0.6,0.53,0.0,0.0,0.0,0.0,0.11,0.87,2.29,1.73,0.08,0.04,0.19,0.04,0.23,0.34,0.26,0.0,0.0,0.04,0.0,0.04,2.14,1.32,0.87,0.87,0.41,0.94,1.65,56.8,0.71,1.39,0.26,0.87,3.01,1.77,0.08,51.15,2.52,9.63,25.2,16.85,3.12,51.15,1.73,0.56,32.6,1.05,60.9,27.42,135.32,67.17,0.98,0.34,1.47,1.99,35.13,0.0,2.18,1.32,0.26,0.0,0.0,0.0,5.6,2.22,1.73,56.2,1869,29.0,78.62835060832612,78.62835060832612
Sandro Tonali,2000-05-08,PremierLeague,Newcastle United,Right,Italy,Midfielders,2630,0.14,0.07,0.21,0.14,0.0,0.0,0.17,0.0,0.15,0.15,0.08,0.23,1.27,4.38,1.81,1.2,0.41,34.3,0.11,0.33,19.6,0.1,0.13,-0.01,-0.01,43.97,52.53,83.7,703.88,183.01,23.0,25.49,90.2,16.02,18.38,87.2,3.39,5.37,63.1,0.1,0.96,3.56,1.03,0.17,50.24,2.09,0.99,0.24,0.24,1.85,0.41,0.65,0.31,0.27,0.03,0.21,0.92,2.67,1.71,0.34,0.1,0.21,0.21,0.1,0.31,0.27,0.03,0.0,0.0,0.0,0.0,1.75,1.1,0.75,0.79,0.21,0.86,1.75,49.0,0.89,1.16,0.38,1.16,2.91,1.13,0.07,62.21,2.19,13.89,33.91,15.4,1.54,62.21,1.27,0.68,54.1,0.48,37.8,33.5,190.51,79.87,1.37,0.21,1.03,0.79,43.02,0.0,1.27,1.68,0.07,0.03,0.0,0.0,6.06,0.41,0.41,50.0,1869,25.0,78.46420944817363,79.40295915261423
Joe Willock,1999-08-20,PremierLeague,Newcastle United,Right,England,Midfielders,1086,0.0,0.17,0.17,0.0,0.0,0.0,0.33,0.0,0.13,0.13,0.17,0.31,3.15,3.4,7.13,1.49,0.25,16.7,0.0,0.0,15.1,0.0,0.09,-0.13,-0.13,24.86,30.08,82.6,354.86,74.83,14.42,16.16,89.2,8.87,10.19,87.0,0.83,1.82,45.5,0.07,1.82,2.32,0.66,0.0,29.5,0.41,0.0,0.0,0.17,1.49,0.41,0.0,0.0,0.0,0.0,0.17,0.66,3.73,2.98,0.0,0.25,0.25,0.08,0.17,0.33,0.33,0.0,0.0,0.0,0.0,0.0,2.49,1.41,1.24,0.99,0.25,1.49,2.57,58.1,1.08,1.99,0.5,0.5,2.98,0.58,0.0,44.17,0.99,6.13,19.14,19.81,4.56,44.17,2.9,0.99,34.3,1.41,48.6,26.93,183.73,85.69,2.32,1.33,3.07,1.91,30.83,0.0,1.91,1.08,0.25,0.0,0.0,0.0,3.31,0.41,1.16,26.3,1869,26.0,79.59260628193627,79.59260628193627
Sean Longstaff,1997-10-30,PremierLeague,Newcastle United,Right,England,Midfielders,798,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.07,0.07,0.02,0.09,0.45,4.51,2.48,0.68,0.11,16.7,0.0,0.0,13.5,0.0,0.1,-0.07,-0.07,33.27,39.36,84.5,497.03,132.52,18.16,20.86,87.0,12.52,13.53,92.5,1.69,2.48,68.2,0.02,0.45,2.93,0.11,0.0,38.8,0.45,0.23,0.23,0.34,0.56,0.0,0.11,0.0,0.0,0.11,0.11,1.35,1.58,1.35,0.0,0.11,0.11,0.0,0.0,0.23,0.11,0.0,0.0,0.11,0.0,0.0,3.05,1.8,1.13,1.02,0.9,2.03,3.05,66.7,1.02,1.92,0.56,0.79,3.83,0.9,0.0,48.95,2.71,13.87,21.77,13.65,2.37,48.95,0.79,0.23,28.6,0.45,57.1,27.97,132.63,48.38,1.13,0.23,1.02,0.79,34.74,0.0,1.02,0.68,0.0,0.0,0.0,0.0,3.5,0.79,0.79,50.0,1869,28.0,71.95975689642782,71.95975689642782
